location	month	lot_num	artist	born_death	title	estimated_price	sold_price	sold_price_usd	image_url	image_path	description	artist_signature	medium	height_cm	length_cm	year_printed	provenance
New York	14November2017	301	Rembrandt Bugatti	1884-1916	"Deux petits léopards l'un derrière l'autre
"	USD 300,000 - USD 500,000	USD 552500	552500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0301_000(rembrandt_bugatti_deux_petits_leopards_lun_derriere_lautre).jpg	./resources/14November2017/Lot301.jpg	"['<span id=""main_center_0_lblLotDescription"">Rembrandt Bugatti (1884-1916)', ""\nDeux petits léopards l'un derrière l'autre"", ""\nsigned, numbered and stamped with foundry mark 'R.Bugatti. (8) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)"", '\nbronze with dark brown patina', '\nHeight: 15 in. (38 cm.) ', '\nLength: 25 1/8 in. (64 cm.)', '\nConceived <i>circa</i> 1912', '\n</span>']"	signed, numbered and stamped with foundry mark 'R.Bugatti. (8) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)	bronze with dark brown patina	64.0	64.0	Conceived <i>circa</i> 1912	"Anon. sale, Ader Picard Tajan, Paris, 8 April 1989, lot 30.
Acquired at the above sale by the present owner."
New York	14November2017	302	Rembrandt Bugatti	1884-1916	"Serpent, Python royal
"	USD 150,000 - USD 250,000	USD 552500	552500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0302_000(rembrandt_bugatti_serpent_python_royal).jpg	./resources/14November2017/Lot302.jpg	"['<span id=""main_center_0_lblLotDescription"">Rembrandt Bugatti (1884-1916)', '\nSerpent, Python royal', ""\nsigned, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the side)"", '\nbronze with brown patina', '\nHeight: 6 7/8 in. (17.5 cm.)', '\nLength: 21 5/8 in. (55 cm.)', '\nConceived <i>circa</i> 1907', '\n</span>']"	signed, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the side)	bronze with brown patina	55.0	55.0	Conceived <i>circa</i> 1907	"Ettore Bugatti, Molsheim, Alsace (brother of the artist).
L'Ebé Bugatti, Château-la-Valière, France (by descent from the above); sale, Hôtel Drouot, Paris, 18 May 1981, lot 117.
Alain Delon, Paris (acquired at the above sale); sale, Sotheby's, London, 4 April 1990, lot 281. 
Acquired at the above sale by the present owner."
New York	14November2017	303	Rembrandt Bugatti	1884-1916	"Rhinocéros de trois ans
"	USD 400,000 - USD 600,000	USD 996500	996500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0303_000(rembrandt_bugatti_rhinoceros_de_trois_ans).jpg	./resources/14November2017/Lot303.jpg	"['<span id=""main_center_0_lblLotDescription"">Rembrandt Bugatti (1884-1916)', '\nRhinocéros de trois ans', ""\nsigned, numbered and stamped with foundry mark 'R-Bugatti- (6) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)"", '\nbronze with brown patina', '\nHeight: 15 ¾ in. (40 cm.)', '\nLength: 26 ¾ in. (68 cm.)', '\nConceived <i>circa</i> 1909-1910', '\n</span>']"	signed, numbered and stamped with foundry mark 'R-Bugatti- (6) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)	bronze with brown patina	68.0	68.0	Conceived <i>circa</i> 1909-1910	"Galerie A.A. Hébrard, Paris (by 1934).
Acquired by the present owner, by 1990."
New York	14November2017	304	Rembrandt Bugatti	1884-1916	"Jument et son poulain
"	USD 300,000 - USD 500,000	USD 432500	432500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0304_000(rembrandt_bugatti_jument_et_son_poulain).jpg	./resources/14November2017/Lot304.jpg	"['<span id=""main_center_0_lblLotDescription"">Rembrandt Bugatti (1884-1916)', '\nJument et son poulain', ""\nsigned, numbered and stamped with foundry mark 'R Bugatti (4) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)"", '\nbronze with brown patina', '\nHeight: 15 ¾ in. (40 cm.)', '\nLength: 23 5/8 in. (60 cm.)', '\nConceived in 1907', '\n</span>']"	signed, numbered and stamped with foundry mark 'R Bugatti (4) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)	bronze with brown patina	60.0	60.0	Conceived in 1907	"Jean-Henri Jansen, Paris.
Alain Delon, Paris; sale, Sotheby's, London, 4 April 1990, lot 262.
Acquired at the above sale by the present owner."
New York	14November2017	305	Rembrandt Bugatti	1884-1916	"Le grand éléphant du Muséum ""Rachel""
"	USD 500,000 - USD 700,000	USD 732500	732500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0305_000(rembrandt_bugatti_le_grand_elephant_du_museum_rachel).jpg	./resources/14November2017/Lot305.jpg	"['<span id=""main_center_0_lblLotDescription"">Rembrandt Bugatti (1884-1916)', '\nLe grand éléphant du Muséum ""Rachel""', ""\nsigned, dated, numbered, inscribed and stamped with foundry mark 'R Bugatti 1903 (3) Paris A.A. HÉBRARD CIRE PERDUE' (on the top of the base)"", '\nbronze with dark brown patina', '\nHeight: 24 in. (61 cm.)', '\nLength: 18 ½ in. (47 cm.)', '\nConceived <i>circa</i> 1903-1904', '\n</span>']"	signed, dated, numbered, inscribed and stamped with foundry mark 'R Bugatti 1903 (3) Paris A.A. HÉBRARD CIRE PERDUE' (on the top of the base)	bronze with dark brown patina	61.0	61.0	Conceived <i>circa</i> 1903-1904	"Private collection, Paris. 
Acquired from the above by the present owner, December 1985."
New York	14November2017	306	Rembrandt Bugatti	1884-1916	"Dix minutes de repos ou Le grand fardier
"	USD 800,000 - USD 1,200,000	USD 1152500	1152500	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0306_000(rembrandt_bugatti_dix_minutes_de_repos_ou_le_grand_fardier).jpg	./resources/14November2017/Lot306.jpg	"['<span id=""main_center_0_lblLotDescription"">Rembrandt Bugatti (1884-1916)', '\nDix minutes de repos <i>ou</i> Le grand fardier', ""\nsigned and stamped with foundry mark 'R Bugatti A.A. HÉBRARD CIRE PERDUE' (on the back of the chariot)"", '\nbronze with brown patina', '\nHeight: 15 ¾ in. (40 cm.)', '\nLength: 102 3/8 in. (260 cm.)', '\nConceived in 1905 and cast in 1906; unique', '\n</span>']"	signed and stamped with foundry mark 'R Bugatti A.A. HÉBRARD CIRE PERDUE' (on the back of the chariot)	bronze with brown patina	260.0	260.0	Conceived in 1905 and cast in 1906; unique	"Ettore Bugatti, Molsheim, Alsace (acquired from A.A. Hébrard, June 1920).
Roland Bugatti, Paris (by descent from the above).
Anon. sale, Champin and Lombrail, Enghien, 26 October 1980, lot 76.
Acquired at the above sale by the present owner."
New York	14November2017	307	Rembrandt Bugatti	1884-1916	"Brebis mérinos
"	USD 60,000 - USD 80,000	USD 225000	225000	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0307_000(rembrandt_bugatti_brebis_merinos).jpg	./resources/14November2017/Lot307.jpg	"['<span id=""main_center_0_lblLotDescription"">Rembrandt Bugatti (1884-1916)', '\nBrebis mérinos', ""\nsigned, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)"", '\nbronze with dark brown patina', '\nHeight: 7 3/8 in. (19 cm.)', '\nLength: 16 7/8 in. (43 cm.)', '\nConceived <i>circa</i> 1912', '\n</span>']"	signed, numbered and stamped with foundry mark 'R Bugatti (1) A.A. HÉBRARD CIRE PERDUE' (on the top of the base)	bronze with dark brown patina	43.0	43.0	Conceived <i>circa</i> 1912	Acquired by the present owner, by 1990.
New York	14November2017	308	Léonard Tsuguharu Foujita	1886-1968	"Jeune fille sur le toit de Paris
"	USD 80,000 - USD 120,000	USD 150000	150000	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0308_000(leonard_tsuguharu_foujita_jeune_fille_sur_le_toit_de_paris).jpg	./resources/14November2017/Lot308.jpg	"['<span id=""main_center_0_lblLotDescription"">Léonard Tsuguharu Foujita (1886-1968)', '\nJeune fille sur le toit de Paris', ""\nsigned twice 'Foujita f.' (lower left) and 'Foujita f' (lower right)"", '\noil on canvas', '\n7 ½ x 5 ½ in. (18 x 14.3 cm.)', '\nPainted <i>circa</i> 1955', '\n</span>']"	signed twice 'Foujita f.' (lower left) and 'Foujita f' (lower right)	oil on canvas	18.0	14.3	Painted <i>circa</i> 1955	"Galerie Paul Pétridès, Paris (1955).
Acquired by the family of the present owner, circa 2000."
New York	14November2017	309	Léonard Tsuguharu Foujita	1886-1968	"Jeune fille épluchant des pommes de terre
"	USD 200,000 - USD 300,000	USD 300000	300000	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0309_000(leonard_tsuguharu_foujita_jeune_fille_epluchant_des_pommes_de_terre).jpg	./resources/14November2017/Lot309.jpg	"['<span id=""main_center_0_lblLotDescription"">Léonard Tsuguharu Foujita (1886-1968)', '\nJeune fille épluchant des pommes de terre', ""\nsigned 'Foujita' (lower left)"", '\noil on canvas', '\n13 ¾ x 10 ¾ in. (35 x 27.4 cm.)', '\n</span>']"	signed 'Foujita' (lower left)	oil on canvas	35.0	27.4		"Lew and Edie Wasserman, Los Angeles (circa 1960); Estate sale, Christie's, New York, 3 November 2011, lot 222. 
Acquired at the above sale by the present owner."
New York	14November2017	310	Léonard Tsuguharu Foujita	1886-1968	"Fleurs et papillons
"	USD 180,000 - USD 250,000	USD 275000	275000	https://www.christies.com/img/LotImages/2017/NYR/2017_NYR_15006_0310_000(leonard_tsuguharu_foujita_fleurs_et_papillons).jpg	./resources/14November2017/Lot310.jpg	"['<span id=""main_center_0_lblLotDescription"">Léonard Tsuguharu Foujita (1886-1968)', '\nFleurs et papillons', ""\nsigned 'Foujita' and signed again in Japanese (lower left)"", '\noil and gold leaf on canvas', '\n18 1/8 x 25 ½ in. (46.2 x 65 cm.)', '\nExecuted in 1922', '\n</span>']"	signed 'Foujita' and signed again in Japanese (lower left)	oil and gold leaf on canvas	46.2	65.0	Executed in 1922	"Oscar Fischer, Antwerp and Tel Aviv (by 1929). 
Acquired from the above by the present owner."
